iter	Passed	Remaining
0	144	144025
1	145	72573
2	146	48661
3	147	36682
4	148	29496
5	149	24704
6	150	21282
7	150	18716
8	151	16718
9	152	15130
10	153	13831
11	154	12740
12	155	11821
13	156	11029
14	157	10341
15	158	9738
16	159	9208
17	160	8737
18	161	8313
19	161	7933
20	162	7589
21	163	7276
22	164	6990
23	165	6727
24	166	6485
25	167	6261
26	168	6071
27	169	5878
28	170	5699
29	171	5532
30	172	5377
31	172	5230
32	173	5092
33	174	4962
34	175	4839
35	176	4723
36	177	4614
37	178	4510
38	179	4411
39	179	4316
40	180	4227
41	181	4142
42	182	4062
43	183	3995
44	184	3923
45	186	3859
46	187	3794
47	188	3731
48	189	3669
49	190	3621
50	191	3569
51	192	3516
52	193	3464
53	194	3414
54	195	3365
55	196	3319
56	198	3279
57	199	3241
58	200	3198
59	201	3156
60	202	3115
61	203	3075
62	204	3036
63	205	2998
64	205	2962
65	206	2927
66	207	2892
67	208	2859
68	209	2827
69	210	2795
70	211	2769
71	212	2742
72	213	2715
73	214	2689
74	215	2662
75	216	2635
76	217	2608
77	218	2582
78	219	2557
79	220	2532
80	221	2507
81	222	2486
82	222	2459
83	223	2437
84	224	2416
85	225	2398
86	226	2378
87	227	2358
88	228	2341
89	229	2321
90	230	2302
91	231	2283
92	232	2264
93	233	2246
94	233	2229
95	234	2211
96	235	2195
97	236	2178
98	237	2161
99	238	2145
100	239	2130
101	240	2116
102	241	2100
103	242	2085
104	242	2070
105	243	2056
106	244	2042
107	245	2028
108	246	2014
109	247	2001
110	248	1987
111	249	1974
112	249	1961
113	250	1949
114	251	1936
115	252	1924
116	253	1910
117	254	1899
118	255	1889
119	256	1877
120	256	1866
121	257	1853
122	258	1842
123	259	1832
124	260	1821
125	261	1810
126	261	1799
127	262	1789
128	263	1779
129	264	1769
130	265	1760
131	266	1750
132	267	1740
133	267	1731
134	268	1722
135	269	1713
136	270	1704
137	271	1696
138	272	1687
139	273	1678
140	274	1670
141	274	1660
142	275	1651
143	276	1643
144	277	1635
145	278	1627
146	279	1619
147	279	1611
148	280	1603
149	281	1595
150	282	1588
151	283	1583
152	285	1578
153	286	1571
154	287	1565
155	288	1558
156	288	1551
157	289	1544
158	290	1537
159	291	1530
160	292	1522
161	292	1515
162	293	1508
163	294	1502
164	295	1495
165	296	1490
166	297	1484
167	298	1478
168	299	1474
169	300	1468
170	301	1463
171	302	1458
172	303	1452
173	304	1447
174	305	1441
175	306	1436
176	307	1430
177	308	1425
178	309	1420
179	310	1414
180	311	1409
181	312	1403
182	313	1398
183	314	1393
184	314	1387
185	315	1382
186	316	1376
187	317	1371
188	318	1366
189	319	1361
190	320	1356
191	321	1351
192	321	1346
193	322	1341
194	323	1336
195	324	1331
196	325	1326
197	326	1321
198	327	1317
199	328	1312
200	329	1308
201	330	1303
202	330	1299
203	331	1295
204	332	1290
205	333	1286
206	334	1281
207	335	1277
208	336	1272
209	337	1268
210	338	1264
211	338	1259
212	339	1255
213	340	1251
214	341	1247
215	342	1243
216	343	1238
217	344	1235
218	345	1231
219	346	1227
220	347	1223
221	347	1219
222	348	1215
223	349	1211
224	350	1207
225	351	1203
226	352	1199
227	353	1195
228	354	1191
229	354	1188
230	355	1184
231	356	1180
232	357	1178
233	359	1176
234	360	1172
235	361	1169
236	362	1167
237	363	1164
238	364	1161
239	365	1158
240	366	1154
241	367	1151
242	368	1147
243	369	1144
244	370	1140
245	371	1137
246	371	1133
247	372	1130
248	373	1127
249	374	1124
250	375	1121
251	376	1118
252	377	1114
253	378	1111
254	379	1107
255	380	1104
256	381	1101
257	382	1099
258	383	1097
259	384	1094
260	385	1090
261	386	1087
262	387	1084
263	388	1082
264	389	1080
265	390	1077
266	391	1074
267	392	1071
268	393	1068
269	394	1066
270	395	1063
271	396	1060
272	397	1057
273	397	1054
274	398	1051
275	400	1049
276	401	1047
277	402	1044
278	402	1041
279	404	1040
280	405	1038
281	406	1035
282	407	1032
283	408	1029
284	409	1026
285	410	1023
286	411	1021
287	412	1018
288	413	1016
289	413	1013
290	414	1010
291	415	1008
292	416	1005
293	418	1003
294	419	1002
295	420	1000
296	422	998
297	423	996
298	424	994
299	425	992
300	426	989
301	426	986
302	427	984
303	428	981
304	429	979
305	430	977
306	431	974
307	432	972
308	433	970
309	434	968
310	436	966
311	437	964
312	438	962
313	439	960
314	440	958
315	441	955
316	442	953
317	443	950
318	444	948
319	445	945
320	446	943
321	446	941
322	448	940
323	450	939
324	451	937
325	452	935
326	453	933
327	455	932
328	456	930
329	457	928
330	458	926
331	459	923
332	460	921
333	461	919
334	462	917
335	463	915
336	464	913
337	466	912
338	467	910
339	468	908
340	469	906
341	470	905
342	471	903
343	472	901
344	473	899
345	474	896
346	475	894
347	476	892
348	478	892
349	479	890
350	480	888
351	481	886
352	482	884
353	483	882
354	485	881
355	486	880
356	487	878
357	488	876
358	490	875
359	491	874
360	493	873
361	494	872
362	496	871
363	497	869
364	498	868
365	499	865
366	500	863
367	501	861
368	502	859
369	503	857
370	504	855
371	505	852
372	506	850
373	508	850
374	509	848
375	510	847
376	511	845
377	512	843
378	513	841
379	514	839
380	515	837
381	516	835
382	516	832
383	517	830
384	518	828
385	519	826
386	520	824
387	521	822
388	522	821
389	524	819
390	525	817
391	525	815
392	526	813
